Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$17.74,100
Name on File,Address on File,on File,11/22/2021,Retail Crypto‐Backed Loan,,,,Y,$578.59,100
Name on File,Address on File,on File,12/27/2021,Retail Crypto‐Backed Loan,,,,Y,"$15,351.40",100
Name on File,Address on File,on File,12/16/2020,Retail Crypto‐Backed Loan,,,,Y,"$147,745.61",100
Name on File,Address on File,on File,4/15/2021,Retail Crypto‐Backed Loan,,,,Y,"$37,688.52",100
Name on File,Address on File,on File,5/13/2021,Retail Crypto‐Backed Loan,,,,Y,$345.18,100
Name on File,Address on File,on File,5/2/2021,Retail Crypto‐Backed Loan,,,,Y,"$3,092.74",100
Name on File,Address on File,on File,1/25/2021,Retail Crypto‐Backed Loan,,,,Y,"$561,386.23",100
Name on File,Address on File,on File,12/2/2020,Retail Crypto‐Backed Loan,,,,Y,"$37,395.25",100
Name on File,Address on File,on File,1/12/2021,Retail Crypto‐Backed Loan,,,,Y,"$83,624.51",100
Tennessee Department of Commerce & Insurance,500 James Robertson Parkway Davy Crockett Tower Nashville TN 37243,2013,05/13/22,Regulatory settlement outstanding payments,,,,,"$566,037.74",100
Name on File,Address on File,on File,7/24/2020,Retail Crypto‐Backed Loan,,,,Y,"$29,819.59",100
Name on File,Address on File,on File,4/10/2021,Retail Crypto‐Backed Loan,,,,Y,"$1,228.57",100
Name on File,Address on File,on File,12/7/2020,Retail Crypto‐Backed Loan,,,,Y,"$159,841.16",100
Name on File,Address on File,on File,6/29/2020,Retail Crypto‐Backed Loan,,,,Y,"$22,785.41",100
Name on File,Address on File,on File,9/24/2020,Retail Crypto‐Backed Loan,,,,Y,"$78,762.62",100
Name on File,Address on File,on File,3/31/2021,Retail Crypto‐Backed Loan,,,,Y,"$23,175.01",100
Name on File,Address on File,on File,7/26/2020,Retail Crypto‐Backed Loan,,,,Y,"$37,424.02",100
Name on File,Address on File,on File,4/1/2021,Retail Crypto‐Backed Loan,,,,Y,"$13,300.75",100
Texas State Securities Board,208 E. 10th Street Room 610 Austin TX 78705,1858,02/14/22,Regulatory settlement outstanding payments,,,,,"$566,037.74",100
The Commissioner of Financial Institutions or Puerto Rico Office,1492 Ponce de Leon Ave San Juan PR 00907‐4024,NA,03/03/22,Regulatory settlement outstanding payments,,,,,"$566,037.74",100
Name on File,Address on File,on File,3/8/2022,Retail Crypto‐Backed Loan,,,,Y,"$26,308.89",100
Name on File,Address on File,on File,10/21/2020,BPC Open and/or Term Loan,,,,,"$169,411.38",100
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$636.05,100
Name on File,Address on File,on File,7/11/2019,BPC Open and/or Term Loan,,,,,$11.73,100
Name on File,Address on File,on File,7/11/2019,Retail Crypto‐Backed Loan,,,,Y,"$45,775.53",100
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.07,100
Name on File,Address on File,on File,5/11/2021,Retail Crypto‐Backed Loan,,,,Y,"$11,656.07",100
Name on File,Address on File,on File,8/1/2020,Retail Crypto‐Backed Loan,,,,Y,"$34,573.65",100
Name on File,Address on File,on File,3/4/2021,BPC Open and/or Term Loan,,,,,$2.44,100
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.01,100
Name on File,Address on File,on File,5/14/2021,Retail Crypto‐Backed Loan,,,,Y,"$93,225.43",100
Name on File,Address on File,on File,3/5/2021,Retail Crypto‐Backed Loan,,,,Y,"$40,839.88",100
Name on File,Address on File,on File,2/20/2021,Retail Crypto‐Backed Loan,,,,Y,"$75,148.61",100
Name on File,Address on File,on File,10/11/2020,BPC Open and/or Term Loan,,,,,$0.01,100
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$521.25,100
Name on File,Address on File,on File,4/27/2021,Retail Crypto‐Backed Loan,,,,Y,"$19,548.59",100
Name on File,Address on File,on File,8/5/2021,Retail Crypto‐Backed Loan,,,,Y,"$30,305.78",100
Name on File,Address on File,on File,12/15/2019,Retail Crypto‐Backed Loan,,,,Y,"$539,831.85",100
Name on File,Address on File,on File,12/3/2020,Retail Crypto‐Backed Loan,,,,Y,"$274,696.79",100
Name on File,Address on File,on File,12/30/2020,Retail Crypto‐Backed Loan,,,,Y,"$13,899.57",100
Name on File,Address on File,on File,11/28/2020,Retail Crypto‐Backed Loan,,,,Y,"$15,799.70",100
Name on File,Address on File,on File,1/13/2021,Retail Crypto‐Backed Loan,,,,Y,"$26,254.21",100
Name on File,Address on File,on File,12/1/2019,Retail Crypto‐Backed Loan,,,,Y,"$204,685.57",100
Name on File,Address on File,on File,5/14/2020,Retail Crypto‐Backed Loan,,,,Y,"$1,913.99",100
Name on File,Address on File,on File,12/29/2020,Retail Crypto‐Backed Loan,,,,Y,"$129,350.87",100
Name on File,Address on File,on File,2/8/2020,BPC Open and/or Term Loan,,,,,$2.81,100
Name on File,Address on File,on File,2/8/2020,Retail Crypto‐Backed Loan,,,,Y,"$768,209.01",100
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.01,100
Name on File,Address on File,on File,2/17/2021,Retail Crypto‐Backed Loan,,,,Y,"$11,733.36",100
Name on File,Address on File,on File,5/11/2022,Retail Crypto‐Backed Loan,,,,Y,"$26,037.68",100
Name on File,Address on File,on File,7/23/2021,Retail Crypto‐Backed Loan,,,,Y,"$17,901.40",100
Name on File,Address on File,on File,11/25/2020,Retail Crypto‐Backed Loan,,,,Y,"$28,034.24",100
Name on File,Address on File,on File,10/17/2020,BPC Open and/or Term Loan,,,,,$51.90,100
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.14,100
Name on File,Address on File,on File,12/10/2020,BPC Open and/or Term Loan,,,,,$267.32,100
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.79,100
Name on File,Address on File,on File,2/3/2021,Retail Crypto‐Backed Loan,,,,Y,"$13,295.95",100
Name on File,Address on File,on File,5/29/2021,BPC Open and/or Term Loan,,,,,$10.15,101
Name on File,Address on File,on File,5/29/2021,Retail Crypto‐Backed Loan,,,,Y,"$553,122.43",101
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.03,101
Name on File,Address on File,on File,7/22/2020,Retail Crypto‐Backed Loan,,,,Y,"$9,163.20",101
Name on File,Address on File,on File,3/18/2021,Retail Crypto‐Backed Loan,,,,Y,"$66,878.12",101
Name on File,Address on File,on File,12/15/2020,Retail Crypto‐Backed Loan,,,,Y,"$32,821.12",101
Name on File,Address on File,on File,2/3/2021,Retail Crypto‐Backed Loan,,,,Y,"$24,229.59",101
