Creditor Name,Reasons for payment or transfer,Dates of Payments,Total,Address,Page Number
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/23/2022,$4.34,Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/23/2022,"$20,007.30",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/23/2022,"$20,000.01",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/23/2022,"$240,008.27",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$20,119.32",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$272,009.83",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$20,117.30",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$20,159.22",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/14/2022,"$3,022.80",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/31/2022,"$2,240.67",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/14/2022,"$2,497.56",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/14/2022,$56.44,Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/6/2022,"$2,314.82",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/9/2022,"$46,880.67",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/13/2022,"$50,000.00",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/25/2022,"$6,047.24",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,$10.00,Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$9,801.07",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/10/2022,"$1,000,000.00",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/7/2022,"$1,893.52",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/25/2022,$700.00,Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$16,538.31",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/13/2022,"$3,385.75",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$143,018.74",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/24/2022,"$3,343.60",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/24/2022,"$1,283.11",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/1/2022,"$8,668.77",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$2,021.69",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$4,007.09",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/6/2022,"$22,548.69",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/6/2022,$248.17,Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/16/2022,"$28,702.83",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/16/2022,$324.13,Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/6/2022,"$17,500.00",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,8/31/2022,"$113,382.95",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/15/2022,"$13,381.19",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$4,213.64",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/13/2022,"$1,099.04",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/7/2022,$898.49,Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/10/2022,"$71,949.05",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/20/2022,"$16,390.49",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$4,457.82",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/22/2022,"$10,000.00",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/3/2022,"$7,086.74",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/7/2022,"$4,375.70",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/25/2022,"$7,225.22",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/25/2022,"$3,565.39",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/28/2022,"$31,278.16",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,11/10/2022,"$10,000.00",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/12/2022,"$201,500.00",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,"$14,460.61",Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$45,164.89",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/27/2022,"$1,630.81",Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/28/2022,"$2,000.00",Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/8/2022,"$7,645.42",Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$219.94,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$0.10,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$4.64,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$107.20,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$16.97,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$3.55,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$27.34,Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/26/2022,"$6,523.14",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/27/2022,"$15,720.11",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/22/2022,"$2,917.13",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/13/2022,$564.55,Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/13/2022,"$1,130.89",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/25/2022,$168.60,Address on File,101
