Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$45.51,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$27.76,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$5.10,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$99.11,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.15,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$2.28,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$23.38,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$89.01,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.54,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$11.94,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$138.60,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.84,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$2.59,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$25.72,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.46,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$166.24,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$1.02,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$8.55,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$100.86,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$11.32,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$41.08,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$5.06,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$62.05,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.07,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$506.33,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$13.53,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.03,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$1.34,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.15,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$0.10,10
Name on File,Address on File,On File,11/28/2022,BIA Interest,,,,,$14.35,10
